hold_h,n_trades,mean_bps,ci95_bps,t_stat,win_rate,net_spot_bps,net_cfd_bps,ann_sharpe_gross,total_gross_pct,total_net_cfd_pct
1,1826,-0.9814295242422173,2.127516425381299,-0.904153709257494,0.49123767798466594,-12.981429524242216,-20.98142952424222,-1.9803590382326208,-18.03724912615077,-97.8826406332861
2,1826,-1.2659432436863336,2.9213069449942526,-0.8493625642032956,0.47754654983570644,-13.265943243686333,-21.265943243686333,-1.3154664740034419,-23.531224760746305,-98.02491151909217
3,1825,-1.0938007175971618,3.839288134639051,-0.5583976329226434,0.4865753424657534,-13.09380071759716,-21.093800717597162,-0.7063233440328713,-23.15570208496348,-98.01132089789617
4,1826,-0.4659946059489547,4.565041715426241,-0.20007471663918214,0.5147864184008762,-12.465994605948953,-20.465994605948957,-0.21911084883101187,-16.117590729686427,-97.83325912278373
5,1826,0.023336024745161565,5.70084861348398,0.008023122801811127,0.511500547645126,-11.976663975254837,-19.976663975254837,0.007858869983053114,-12.828743784464791,-97.74836411869674
6,1826,-1.323663514548506,6.652813142937695,-0.3899674367480381,0.5104052573932092,-13.323663514548505,-21.323663514548507,-0.3487019573325265,-35.25650829422193,-98.32884493877613
7,1826,-0.8271358455488945,7.255085875076173,-0.22345514376958522,0.5109529025191676,-12.827135845548893,-20.827135845548895,-0.1849877638895748,-31.667749396957802,-98.23615302168062
8,1826,-1.2222373548984888,7.969939426738061,-0.30057759379753574,0.49616648411829134,-13.222237354898487,-21.22223735489849,-0.23276264115087836,-39.359579794560986,-98.43522432450385
9,1826,-2.1866309128072734,8.566403485529692,-0.5003029096565195,0.4994523548740416,-14.186630912807273,-22.186630912807274,-0.36526952546819025,-51.26755087472416,-98.7431571757241
10,1826,-0.4576296503496,9.131130570475035,-0.09823034593169258,0.49671412924424974,-12.457629650349597,-20.4576296503496,-0.06803734218455722,-36.0153857571108,-98.34903740378103
11,1825,-2.6905006707891257,9.628938517149436,-0.5476596724918985,0.4926027397260274,-14.690500670789124,-22.690500670789127,-0.36177207302073006,-59.12263853270594,-98.94418450558203
12,1825,-4.425076592433693,9.837834141412074,-0.881611744668541,0.48712328767123286,-16.42507659243369,-24.42507659243369,-0.5575802250214794,-70.74830603986248,-99.2449967263064
13,1825,-8.422954239079454,10.24702181728247,-1.611101313432545,0.4882191780821918,-20.422954239079452,-28.422954239079456,-0.9789754346840036,-86.42287762661387,-99.65013324787166
14,1825,-6.622695683658534,10.680207822647061,-1.2153774304322054,0.4904109589041096,-18.62269568365853,-26.622695683658534,-0.711652153811274,-81.86523052745181,-99.53245369736955
15,1825,-7.586405712488291,10.876300998881725,-1.3671334765381982,0.49917808219178084,-19.58640571248829,-27.586405712488293,-0.7733674816378399,-85.07886423111746,-99.61547261170908
16,1824,-6.178855505371778,11.300461134244987,-1.0716869556613737,0.5043859649122807,-18.178855505371775,-26.17885550537178,-0.5871480047088103,-81.45737323547391,-99.52101730377382
17,1824,-5.646724522132267,11.581664525559658,-0.9556122126447475,0.5016447368421053,-17.646724522132267,-25.646724522132267,-0.5079218159229347,-80.13140756447147,-99.48672380289874
18,1824,-5.0129415798936705,11.772990892880092,-0.8345683425724592,0.4956140350877193,-17.01294157989367,-25.01294157989367,-0.4310873612504002,-78.10104476248037,-99.43418174058237
19,1824,-6.158241680555611,11.973094159219029,-1.0081064705062255,0.4934210526315789,-18.15824168055561,-26.158241680555612,-0.5068380809501174,-82.58676129414656,-99.55030695772582
20,1825,-6.646850024518436,12.108228016306379,-1.0759481924614664,0.4849315068493151,-18.646850024518436,-26.646850024518432,-0.5271048122400925,-84.3042533155647,-99.59556656389135
21,1824,-5.952108857356126,12.369246118770684,-0.9431563773894284,0.4917763157894737,-17.952108857356123,-25.952108857356126,-0.45103858327974955,-82.62656988919849,-99.55137163034283
22,1824,-5.945821782107706,12.40668045352355,-0.9393173892555098,0.48848684210526316,-17.945821782107707,-25.945821782107707,-0.4388748136114482,-82.66904235413254,-99.55247334083231
23,1825,-7.254947689230567,12.595758467228146,-1.1289274487033836,0.4810958904109589,-19.254947689230566,-27.25494768923057,-0.5157304016505416,-86.6510775740736,-99.65618334400627
24,1825,-7.1702176405418285,12.778381462293266,-1.0997970765649576,0.4745205479452055,-19.17021764054183,-27.17021764054183,-0.4918442049309572,-86.71005246295475,-99.6577189566902
