ticker,effect,oos_sharpe,buyhold_sharpe,cagr,exposure,n_trades,win_rate,profit_factor
SPY,turn_of_month,0.12,0.75,0.0265,0.191,186,0.597,1.38
SPY,turn_of_year,-0.48,0.75,0.0055,0.036,16,0.688,1.76
SPY,sell_in_may,0.46,0.75,0.0736,0.498,16,0.75,7.72
QQQ,turn_of_month,0.18,0.87,0.0328,0.191,186,0.613,1.37
QQQ,turn_of_year,-0.37,0.87,0.0054,0.036,16,0.562,1.5
QQQ,sell_in_may,0.46,0.87,0.0823,0.498,16,0.812,6.4
^GDAXI,turn_of_month,-0.2,0.42,-0.0037,0.19,186,0.559,1.01
^GDAXI,turn_of_year,-0.23,0.42,0.0118,0.036,16,0.875,3.78
^GDAXI,sell_in_may,0.45,0.42,0.0757,0.496,16,0.688,3.97
^FTSE,turn_of_month,-0.01,0.18,0.0167,0.191,186,0.624,1.22
^FTSE,turn_of_year,-0.36,0.18,0.0106,0.036,16,0.688,3.23
^FTSE,sell_in_may,0.23,0.18,0.0397,0.5,16,0.875,3.81
^N225,turn_of_month,-0.11,0.59,0.0024,0.197,186,0.538,1.06
^N225,turn_of_year,-0.26,0.59,0.0086,0.037,16,0.625,2.13
^N225,sell_in_may,0.33,0.59,0.0623,0.5,16,0.688,3.46
