ticker,name,commodity,weeks,k_weeks,is_sharpe,oos_sharpe,buyhold_sharpe,cagr,max_drawdown,n_trades,win_rate,perm_p,dsr
LBS=F,Bauholz (Lumber),True,51,1,5.46,0.39,0.3,0.0352,-0.0381,7,0.714,0.033,0.0
ZR=F,Rough Rice,True,44,1,5.27,-0.63,0.31,0.0035,-0.0541,10,0.5,0.607,0.0
YM=F,Dow Jones,False,14,1,3.75,-0.67,0.57,-0.0075,-0.1319,11,0.455,0.376,0.0
DC=F,Milch (Class III),True,22,1,5.3,-0.7,0.16,-0.0094,-0.1893,11,0.364,0.416,0.0
6M=F,Mexikanischer Peso,False,14,1,5.35,-0.78,-0.1,0.0016,-0.0571,11,0.545,0.147,0.0
UB=F,Ultra T-Bond,False,8,1,10.72,-0.86,-0.29,0.0051,-0.0259,11,0.636,0.223,0.0
6L=F,Brasilianischer Real,False,14,1,8.27,-1.01,-0.19,-0.0051,-0.0988,11,0.455,0.566,0.0
NKD=F,Nikkei 225,False,51,1,5.77,-1.28,0.61,-0.0105,-0.1341,10,0.3,0.983,0.0
6J=F,Japanischer Yen,False,15,1,3.75,-1.53,-0.46,0.0018,-0.0354,11,0.364,0.448,0.0
6C=F,Kanadischer Dollar,False,14,1,3.62,-1.57,-0.24,0.0023,-0.0255,11,0.455,0.113,0.0
6S=F,Schweizer Franken,False,52,1,9.37,-1.88,0.07,0.001,-0.0208,10,0.5,0.339,0.0
6N=F,Neuseeland-Dollar,False,52,1,7.28,-2.14,-0.27,-0.0002,-0.0343,10,0.4,0.923,0.0
6B=F,Britisches Pfund,False,29,1,4.25,-2.18,-0.26,-0.0037,-0.0449,10,0.4,0.926,0.0
6A=F,Australischer Dollar,False,52,1,3.95,-2.27,-0.15,0.0006,-0.0272,10,0.4,0.955,0.0
ZN=F,10Y T-Note,False,2,1,4.03,-3.29,-0.59,-0.0019,-0.0302,11,0.273,0.917,0.0
ZF=F,5Y T-Note,False,2,1,3.98,-4.75,-0.79,-0.0012,-0.0194,11,0.455,0.888,0.0
ZT=F,2Y T-Note,False,48,1,3.68,-10.74,-1.6,-0.0002,-0.0068,10,0.3,0.571,0.0
ZQ=F,30D Fed Funds,False,1,1,1.82,-24.81,-3.9,-0.0004,-0.0061,11,0.182,0.256,0.0
GE=F,Eurodollar,False,1-2,2,2.79,-26.84,-2.14,-0.0011,-0.0079,8,0.0,0.769,0.0
