,0
e12_L1_H2,-5.5325288046781935
e12_L1_H3,-4.54629099089225
e12_L1_H4,-3.9578119252324298
e12_L2_H2,-5.064846616794168
e12_L2_H3,-4.034950491724083
e12_L2_H4,-3.5410424273614494
e12_L3_H2,-4.910819348789406
e12_L3_H3,-3.915473819851294
e12_L3_H4,-3.3975286227760466
e13_L1_H2,-5.198277107860655
e13_L1_H3,-4.631216909389204
e13_L1_H4,-3.589460360877324
e13_L2_H2,-4.387430943171207
e13_L2_H3,-3.809425154556865
e13_L2_H4,-2.8903707261696785
e13_L3_H2,-4.716939113330307
e13_L3_H3,-4.032766770169816
e13_L3_H4,-3.4424128625684496
e14_L1_H2,-5.63671148218543
e14_L1_H3,-4.747943972021148
e14_L1_H4,-4.0379019722383
e14_L2_H2,-5.320962254018677
e14_L2_H3,-4.451835094032993
e14_L2_H4,-3.753722155113714
e14_L3_H2,-5.164643798388246
e14_L3_H3,-4.229037320579626
e14_L3_H4,-3.6545995417385906
