entry_date,exit_date,direction,holding_days,gross_return,pnl
2023-01-09 00:00:00+00:00,2023-01-09 06:00:00+00:00,-1,6,-0.004556853404360406,-0.006956853404360405
2023-01-10 19:00:00+00:00,2023-01-11 01:00:00+00:00,-1,6,-0.0018499404379831441,-0.0042499404379831435
2023-01-11 16:00:00+00:00,2023-01-11 19:00:00+00:00,1,3,0.008923157341469201,0.006523157341469202
2023-01-11 19:00:00+00:00,2023-01-12 07:00:00+00:00,-1,12,-0.03725934894814842,-0.03965934894814842
2023-01-12 15:00:00+00:00,2023-01-12 18:00:00+00:00,1,3,0.04658706029815707,0.04418706029815707
2023-01-12 18:00:00+00:00,2023-01-12 22:00:00+00:00,-1,4,0.0001374044788533535,-0.0022625955211466463
2023-01-12 22:00:00+00:00,2023-01-13 04:00:00+00:00,1,6,0.002458833132324978,5.883313232497812e-05
2023-01-13 16:00:00+00:00,2023-01-14 07:00:00+00:00,-1,15,-0.08347075418585503,-0.08587075418585503
2023-01-14 10:00:00+00:00,2023-01-14 16:00:00+00:00,1,6,0.012813935075217664,0.010413935075217665
2023-01-16 09:00:00+00:00,2023-01-16 15:00:00+00:00,1,6,0.005445422866148908,0.003045422866148908
2023-01-18 16:00:00+00:00,2023-01-18 22:00:00+00:00,1,6,-0.012468439218675464,-0.014868439218675464
2023-01-20 21:00:00+00:00,2023-01-21 03:00:00+00:00,-1,6,-0.011831552649303134,-0.014231552649303134
2023-01-21 10:00:00+00:00,2023-01-21 16:00:00+00:00,-1,6,0.0014570215753635374,-0.0009429784246364624
2023-01-21 23:00:00+00:00,2023-01-22 05:00:00+00:00,1,6,0.003869996586072677,0.0014699965860726773
2023-01-25 22:00:00+00:00,2023-01-25 23:00:00+00:00,-1,1,0.02798976795640984,0.02558976795640984
2023-01-25 23:00:00+00:00,2023-01-26 05:00:00+00:00,1,6,0.010777422140047621,0.008377422140047622
2023-01-30 10:00:00+00:00,2023-01-30 16:00:00+00:00,1,6,-0.000547190313567425,-0.0029471903135674248
2023-01-30 20:00:00+00:00,2023-01-31 02:00:00+00:00,1,6,0.001991234530297703,-0.00040876546970229676
2023-02-01 20:00:00+00:00,2023-02-02 07:00:00+00:00,-1,11,-0.017405917582082986,-0.019805917582082985
2023-02-02 22:00:00+00:00,2023-02-03 04:00:00+00:00,1,6,0.003348020626160464,0.0009480206261604641
2023-02-07 18:00:00+00:00,2023-02-07 19:00:00+00:00,-1,1,0.015059966705206929,0.01265996670520693
2023-02-07 19:00:00+00:00,2023-02-08 01:00:00+00:00,1,6,0.017186254484944374,0.014786254484944375
2023-02-09 04:00:00+00:00,2023-02-09 10:00:00+00:00,1,6,0.009780872920148953,0.007380872920148954
2023-02-09 20:00:00+00:00,2023-02-10 02:00:00+00:00,1,6,-0.0062883775985795864,-0.008688377598579586
2023-02-12 22:00:00+00:00,2023-02-13 04:00:00+00:00,1,6,0.0032302315075911636,0.0008302315075911638
2023-02-14 15:00:00+00:00,2023-02-14 21:00:00+00:00,-1,6,-0.0003715806469077876,-0.0027715806469077874
2023-02-15 13:00:00+00:00,2023-02-15 19:00:00+00:00,-1,6,-0.00887970436679053,-0.01127970436679053
2023-02-15 20:00:00+00:00,2023-02-16 03:00:00+00:00,-1,7,-0.056803425359904125,-0.059203425359904124
2023-02-16 16:00:00+00:00,2023-02-16 22:00:00+00:00,-1,6,0.021596314718638654,0.019196314718638655
