entry_date,exit_date,direction,holding_days,gross_return,pnl
2023-01-11 19:00:00+00:00,2023-01-12 13:00:00+00:00,1,18,0.04471012615592462,0.043110126155924626
2023-01-12 15:00:00+00:00,2023-01-12 16:00:00+00:00,-1,1,-0.004892613631312548,-0.006492613631312548
2023-01-12 16:00:00+00:00,2023-01-13 06:00:00+00:00,1,14,0.038762908713734445,0.03716290871373445
2023-01-13 16:00:00+00:00,2023-01-14 10:00:00+00:00,1,18,0.06554942866977598,0.06394942866977597
2023-01-14 10:00:00+00:00,2023-01-14 22:00:00+00:00,-1,12,-0.01829870560855429,-0.01989870560855429
2023-01-18 16:00:00+00:00,2023-01-19 04:00:00+00:00,-1,12,0.013978955541446236,0.012378955541446236
2023-01-20 21:00:00+00:00,2023-01-21 09:00:00+00:00,1,12,0.01849664197067824,0.01689664197067824
2023-01-21 11:00:00+00:00,2023-01-21 23:00:00+00:00,-1,12,0.0001622828839287216,-0.0014377171160712785
2023-01-25 22:00:00+00:00,2023-01-26 10:00:00+00:00,1,12,-0.026357896878463682,-0.027957896878463683
2023-01-30 10:00:00+00:00,2023-01-30 22:00:00+00:00,-1,12,0.019226901743483626,0.017626901743483626
2023-02-01 20:00:00+00:00,2023-02-02 09:00:00+00:00,1,13,0.017685802482597435,0.016085802482597434
2023-02-02 15:00:00+00:00,2023-02-02 16:00:00+00:00,-1,1,-0.00975852118101872,-0.01135852118101872
2023-02-02 16:00:00+00:00,2023-02-03 04:00:00+00:00,1,12,-0.01280731558967263,-0.01440731558967263
2023-02-03 15:00:00+00:00,2023-02-04 03:00:00+00:00,1,12,-0.00558840937617977,-0.00718840937617977
2023-02-07 19:00:00+00:00,2023-02-08 07:00:00+00:00,-1,12,-0.011557619437786548,-0.013157619437786549
2023-02-09 04:00:00+00:00,2023-02-09 16:00:00+00:00,-1,12,-0.004158961020192531,-0.005758961020192531
2023-02-09 20:00:00+00:00,2023-02-10 08:00:00+00:00,-1,12,0.005410992322844033,0.0038109923228440328
2023-02-10 16:00:00+00:00,2023-02-11 04:00:00+00:00,-1,12,-0.0012524914027920442,-0.002852491402792044
2023-02-14 15:00:00+00:00,2023-02-14 16:00:00+00:00,1,1,-0.009256816192820816,-0.010856816192820817
2023-02-14 16:00:00+00:00,2023-02-15 04:00:00+00:00,-1,12,-0.002681631557932551,-0.004281631557932551
2023-02-15 13:00:00+00:00,2023-02-16 09:00:00+00:00,1,20,0.07940072570909873,0.07780072570909873
2023-02-16 16:00:00+00:00,2023-02-17 04:00:00+00:00,1,12,-0.049218132731775,-0.050818132731775
2023-02-17 16:00:00+00:00,2023-02-18 09:00:00+00:00,1,17,0.018980543295828767,0.017380543295828766
2023-02-21 09:00:00+00:00,2023-02-21 21:00:00+00:00,-1,12,0.008821833196942519,0.007221833196942519
2023-03-03 02:00:00+00:00,2023-03-03 14:00:00+00:00,-1,12,-0.011386191406609347,-0.012986191406609348
2023-03-08 16:00:00+00:00,2023-03-09 04:00:00+00:00,1,12,-0.016762718600953797,-0.018362718600953797
2023-03-09 17:00:00+00:00,2023-03-10 12:00:00+00:00,-1,19,0.08438525408906505,0.08278525408906505
2023-03-10 12:00:00+00:00,2023-03-10 15:00:00+00:00,1,3,0.002986724208254854,0.0013867242082548539
2023-03-10 15:00:00+00:00,2023-03-10 16:00:00+00:00,-1,1,-0.009342172978536567,-0.010942172978536568
2023-03-10 16:00:00+00:00,2023-03-11 08:00:00+00:00,1,16,-0.007705589013924263,-0.009305589013924264
2023-03-11 08:00:00+00:00,2023-03-11 09:00:00+00:00,-1,1,-0.01113355072160771,-0.01273355072160771
2023-03-11 09:00:00+00:00,2023-03-11 21:00:00+00:00,1,12,0.013829338844210115,0.012229338844210114
2023-03-12 19:00:00+00:00,2023-03-13 13:00:00+00:00,1,18,0.0500022537002196,0.048402253700219604
2023-03-13 14:00:00+00:00,2023-03-14 04:00:00+00:00,1,14,0.08427892973375073,0.08267892973375073
2023-03-14 13:00:00+00:00,2023-03-15 01:00:00+00:00,1,12,-0.04306617576183813,-0.04466617576183813
2023-03-27 15:00:00+00:00,2023-03-28 03:00:00+00:00,-1,12,-0.003123810325628029,-0.004723810325628029
2023-03-29 07:00:00+00:00,2023-03-29 21:00:00+00:00,1,14,0.011987608859167054,0.010387608859167053
2023-03-30 03:00:00+00:00,2023-03-30 04:00:00+00:00,1,1,-0.016419262579769334,-0.018019262579769334
2023-03-30 04:00:00+00:00,2023-03-30 16:00:00+00:00,-1,12,0.006563371607534618,0.004963371607534618
2023-03-31 08:00:00+00:00,2023-03-31 20:00:00+00:00,-1,12,-0.025883075502395547,-0.027483075502395548
2023-04-03 09:00:00+00:00,2023-04-03 21:00:00+00:00,1,12,-0.026547379565907914,-0.028147379565907914
2023-04-03 21:00:00+00:00,2023-04-04 09:00:00+00:00,-1,12,-0.01863437067393703,-0.02023437067393703
2023-04-10 17:00:00+00:00,2023-04-11 14:00:00+00:00,1,21,0.04165258972650321,0.04005258972650321
2023-04-11 15:00:00+00:00,2023-04-12 15:00:00+00:00,-1,24,0.000996625654698935,-0.0006033743453010651
2023-04-13 15:00:00+00:00,2023-04-14 13:00:00+00:00,1,22,0.00596806212777623,0.00436806212777623
2023-04-14 16:00:00+00:00,2023-04-15 04:00:00+00:00,-1,12,-0.004608844749747654,-0.0062088447497476535
2023-04-17 01:00:00+00:00,2023-04-18 00:00:00+00:00,-1,23,0.013801113729751568,0.012201113729751568
2023-04-18 12:00:00+00:00,2023-04-19 00:00:00+00:00,1,12,-1.9091136808202513e-05,-0.0016190911368082026
2023-04-19 09:00:00+00:00,2023-04-19 21:00:00+00:00,-1,12,-0.0024347538936880797,-0.00403475389368808
2023-04-20 00:00:00+00:00,2023-04-20 12:00:00+00:00,-1,12,0.0064759376820786585,0.004875937682078659
2023-04-20 13:00:00+00:00,2023-04-20 20:00:00+00:00,1,7,-0.027294500398020283,-0.028894500398020283
2023-04-20 20:00:00+00:00,2023-04-21 08:00:00+00:00,-1,12,-0.0019981400395957527,-0.0035981400395957526
2023-04-21 08:00:00+00:00,2023-04-21 20:00:00+00:00,1,12,-0.031082190287135103,-0.0326821902871351
2023-04-21 20:00:00+00:00,2023-04-22 08:00:00+00:00,-1,12,4.429145207573981e-05,-0.0015557085479242603
2023-04-26 13:00:00+00:00,2023-04-26 20:00:00+00:00,1,7,-0.06945365412500049,-0.07105365412500049
2023-04-26 20:00:00+00:00,2023-04-26 21:00:00+00:00,-1,1,-0.018976669258333745,-0.020576669258333746
2023-04-26 21:00:00+00:00,2023-04-27 02:00:00+00:00,1,5,0.011555467334239511,0.00995546733423951
2023-04-27 02:00:00+00:00,2023-04-27 14:00:00+00:00,-1,12,-0.007043448816464237,-0.008643448816464238
2023-04-27 19:00:00+00:00,2023-04-28 07:00:00+00:00,1,12,-0.010244483765348145,-0.011844483765348145
2023-05-01 02:00:00+00:00,2023-05-01 14:00:00+00:00,-1,12,0.0015706069818997026,-2.9393018100297473e-05
2023-05-01 20:00:00+00:00,2023-05-02 08:00:00+00:00,-1,12,-0.007842917731052945,-0.009442917731052946
2023-05-02 15:00:00+00:00,2023-05-03 03:00:00+00:00,1,12,0.004736694083573134,0.0031366940835731343
2023-05-03 22:00:00+00:00,2023-05-04 10:00:00+00:00,1,12,0.005720258115195165,0.004120258115195165
2023-05-04 14:00:00+00:00,2023-05-05 02:00:00+00:00,-1,12,-0.019471985156995886,-0.021071985156995886
2023-05-05 13:00:00+00:00,2023-05-05 17:00:00+00:00,-1,4,-0.021583941385632577,-0.023183941385632578
2023-05-05 17:00:00+00:00,2023-05-06 05:00:00+00:00,1,12,-0.008234041179669527,-0.009834041179669527
2023-05-06 15:00:00+00:00,2023-05-07 03:00:00+00:00,-1,12,-0.00735304386861535,-0.00895304386861535
2023-05-08 02:00:00+00:00,2023-05-08 21:00:00+00:00,-1,19,0.02432807380794233,0.02272807380794233
2023-05-10 13:00:00+00:00,2023-05-11 01:00:00+00:00,1,12,-0.023431532889824025,-0.025031532889824026
2023-05-11 18:00:00+00:00,2023-05-12 18:00:00+00:00,-1,24,0.022456591992745523,0.020856591992745522
2023-05-17 20:00:00+00:00,2023-05-18 08:00:00+00:00,1,12,0.00023808576126627123,-0.0013619142387337288
2023-05-18 18:00:00+00:00,2023-05-19 06:00:00+00:00,-1,12,-0.014536863887165019,-0.01613686388716502
2023-05-22 14:00:00+00:00,2023-05-23 16:00:00+00:00,1,26,0.011591439256488645,0.009991439256488644
2023-05-24 04:00:00+00:00,2023-05-25 03:00:00+00:00,-1,23,0.025134008229949156,0.023534008229949156
2023-05-26 15:00:00+00:00,2023-05-27 03:00:00+00:00,1,12,-0.0006367710624919365,-0.0022367710624919364
2023-05-28 19:00:00+00:00,2023-05-29 11:00:00+00:00,1,16,0.00970795313476902,0.00810795313476902
2023-05-31 05:00:00+00:00,2023-05-31 18:00:00+00:00,-1,13,0.007364466399295111,0.005764466399295111
2023-06-01 03:00:00+00:00,2023-06-01 15:00:00+00:00,-1,12,-0.006691089098827652,-0.008291089098827652
2023-06-05 16:00:00+00:00,2023-06-06 07:00:00+00:00,-1,15,0.009194589053223234,0.0075945890532232345
2023-06-06 13:00:00+00:00,2023-06-06 14:00:00+00:00,-1,1,-0.007902978881395128,-0.00950297888139513
2023-06-06 14:00:00+00:00,2023-06-07 08:00:00+00:00,1,18,0.041214756442538025,0.03961475644253803
2023-06-07 10:00:00+00:00,2023-06-08 03:00:00+00:00,-1,17,0.003245187958641038,0.001645187958641038
2023-06-10 05:00:00+00:00,2023-06-10 18:00:00+00:00,-1,13,-0.010306922453559797,-0.011906922453559798
2023-06-10 18:00:00+00:00,2023-06-10 19:00:00+00:00,1,1,-0.01825585247137662,-0.019855852471376622
2023-06-10 19:00:00+00:00,2023-06-11 07:00:00+00:00,-1,12,-0.00940217557788825,-0.01100217557788825
2023-06-13 16:00:00+00:00,2023-06-14 04:00:00+00:00,-1,12,-0.008735883527077881,-0.010335883527077882
2023-06-14 21:00:00+00:00,2023-06-14 22:00:00+00:00,-1,1,-0.00750134052773288,-0.009101340527732881
2023-06-14 22:00:00+00:00,2023-06-15 10:00:00+00:00,1,12,-0.006908095735681963,-0.008508095735681964
2023-06-16 16:00:00+00:00,2023-06-17 18:00:00+00:00,1,26,0.02257777764017921,0.020977777640179208
2023-06-19 19:00:00+00:00,2023-06-19 20:00:00+00:00,-1,1,-0.007030495169082052,-0.008630495169082052
2023-06-19 20:00:00+00:00,2023-06-20 08:00:00+00:00,1,12,0.005627704978734771,0.004027704978734771
2023-06-20 17:00:00+00:00,2023-06-22 04:00:00+00:00,1,35,0.10647963845855468,0.10487963845855468
2023-06-22 12:00:00+00:00,2023-06-23 03:00:00+00:00,-1,15,-0.002344839321695158,-0.003944839321695158
2023-06-23 16:00:00+00:00,2023-06-23 19:00:00+00:00,1,3,-0.009421857993469507,-0.011021857993469508
2023-06-23 19:00:00+00:00,2023-06-24 07:00:00+00:00,-1,12,0.00784869950549405,0.00624869950549405
2023-06-29 11:00:00+00:00,2023-06-29 23:00:00+00:00,1,12,-0.009374498120507169,-0.01097449812050717
2023-06-30 14:00:00+00:00,2023-06-30 17:00:00+00:00,-1,3,-0.008838142292879048,-0.010438142292879048
2023-06-30 17:00:00+00:00,2023-07-01 05:00:00+00:00,1,12,-0.0003743355790183367,-0.0019743355790183366
