entry_date,exit_date,direction,holding_days,gross_return,pnl
2010-06-07,2010-07-26,1,34,-9.992007221626409e-16,-0.000664523989057537
2011-06-07,2011-07-26,1,34,0.030324116963748038,0.0296595929746915
2012-06-05,2012-07-24,1,34,0.19973887251291522,0.1990743485238587
2013-06-05,2013-07-24,1,34,0.11152675106721888,0.11086222707816235
2014-06-05,2014-07-24,1,34,0.10611614868897923,0.1054516246999227
2015-06-05,2015-07-24,1,34,0.07255000608730611,0.07188548209824958
2016-06-07,2016-07-26,1,34,0.08575428723253431,0.08508976324347778
2017-06-06,2017-07-25,1,34,0.010597201097757525,0.009932677108700987
2018-06-05,2018-07-24,1,34,0.07403535907349013,0.0733708350844336
2019-06-05,2019-07-24,1,34,0.05122909862427205,0.05056457463521551
2020-06-05,2020-07-24,1,34,0.037757073694270504,0.037092549705213966
2021-06-07,2021-07-26,1,34,0.06468903766968337,0.06402451368062684
2022-06-07,2022-07-26,1,33,-0.011841867923583993,-0.012506391912640531
2023-06-06,2023-07-25,1,33,0.19264873640133473,0.1919842124122782
2024-06-05,2024-07-24,1,33,0.14055595717576952,0.139891433186713
2025-06-05,2025-07-24,1,33,0.02402447874535496,0.023359954756298422
