entry_date,exit_date,direction,holding_days,gross_return,pnl
2002-07-02,2002-09-04,1,44,-0.33999983091741737,-0.3409308984587632
2003-06-12,2003-09-03,1,57,0.20578785890914753,0.2048567913678017
2004-06-15,2004-09-03,1,57,-0.1538459280636747,-0.15477699560502053
2005-06-14,2005-09-06,1,58,0.2624805408438897,0.2615494733025439
2006-06-13,2006-09-06,1,59,0.10676161559990605,0.10583054805856021
2007-06-12,2007-09-05,1,59,0.016019397549510872,0.015088330008165042
2008-06-12,2008-09-03,1,57,0.05194780360441453,0.0510167360630687
2009-06-12,2009-09-03,1,58,-0.04318165101326943,-0.04411271855461526
2010-06-14,2010-09-03,1,58,-0.02088785046293129,-0.02181891800427712
2011-06-14,2011-09-06,1,58,-0.05210072278585132,-0.05303179032719715
2012-06-12,2012-09-05,1,59,0.0844216792865724,0.08349061174522657
2013-06-12,2013-09-04,1,58,-0.06908397402323352,-0.07001504156457936
2014-06-12,2014-09-03,1,57,0.19330915481763866,0.19237808727629283
2015-06-12,2015-09-03,1,58,-0.006067422868196393,-0.0069984904095422235
2016-06-14,2016-09-06,1,58,0.10075262129385609,0.09982155375251026
2017-06-13,2017-09-06,1,59,0.06218022690279801,0.06124915936145218
2018-06-12,2018-09-05,1,59,0.021855244207606095,0.020924176666260265
2019-06-12,2019-09-04,1,58,0.04999486877737769,0.04906380123603186
2020-06-12,2020-09-03,1,58,0.21218491047063814,0.2112538429292923
2021-06-14,2021-09-03,1,58,0.14431906693060648,0.14338799938926064
2022-06-14,2022-09-06,1,57,0.21912033467780656,0.21818926713646072
2023-06-13,2023-09-06,1,58,-0.0013919644398473485,-0.0023230319811931794
2024-06-12,2024-09-04,1,57,0.21451376996415727,0.21358270242281144
2025-06-12,2025-09-03,1,56,0.0817109914351315,0.08077992389378566
