entry_date,exit_date,direction,holding_days,gross_return,pnl
2000-04-11,2000-04-25,1,9,-0.05328376703841431,-0.05378376703841431
2001-04-10,2001-04-24,1,9,0.047910295616717447,0.047410295616717446
2002-04-09,2002-04-23,1,10,0.03196347031963498,0.03146347031963498
2003-04-09,2003-04-22,1,8,-0.05416051206302319,-0.05466051206302319
2004-04-12,2004-04-22,1,8,-0.04778887303851631,-0.04828887303851631
2005-04-11,2005-04-22,1,9,-0.0383386581469648,-0.0388386581469648
2006-04-11,2006-04-24,1,8,0.0076601671309193264,0.007160167130919326
2007-04-10,2007-04-24,1,10,-0.005310674455655695,-0.0058106744556556955
2008-04-09,2008-04-22,1,9,0.18924825174825188,0.18874825174825188
2009-04-09,2009-04-22,1,8,-0.054160125588697206,-0.054660125588697206
2010-04-09,2010-04-22,1,9,0.0740999650471863,0.0735999650471863
2011-04-11,2011-04-25,1,9,0.052454606590450537,0.051954606590450536
2012-04-10,2012-04-24,1,10,0.0649905123339658,0.0644905123339658
2013-04-09,2013-04-23,1,10,0.05217391304347796,0.05167391304347796
2014-04-09,2014-04-22,1,8,-0.0016711229946522188,-0.002171122994652219
2015-04-09,2015-04-22,1,9,-0.01211257570359825,-0.01261257570359825
2016-04-11,2016-04-22,1,9,0.06580779944289739,0.06530779944289739
2017-04-11,2017-04-24,1,8,-0.049104859335038276,-0.049604859335038276
2018-04-10,2018-04-24,1,10,0.09752198241406829,0.09702198241406829
2019-04-09,2019-04-23,1,9,-0.034567901234567655,-0.035067901234567656
2020-04-09,2020-04-22,1,8,-0.034047919293821005,-0.034547919293821006
2021-04-09,2021-04-22,1,9,0.01868365180467091,0.01818365180467091
2022-04-11,2022-04-22,1,8,-0.030534351145038108,-0.031034351145038108
2023-04-11,2023-04-24,1,9,0.08521560574948683,0.08471560574948683
2024-04-09,2024-04-23,1,10,0.12844871147043957,0.12794871147043957
2025-04-09,2025-04-22,1,8,0.13604126370083858,0.13554126370083858
2026-04-09,2026-04-22,1,9,0.007509386733416612,0.0070093867334166116
