entry_date,exit_date,direction,holding_days,gross_return,pnl
2000-09-22,2000-11-03,1,30,-0.09967844383156954,-0.10017844383156954
2001-09-24,2001-11-05,1,30,0.5444603050057357,0.5439603050057358
2002-09-24,2002-11-05,1,30,-0.028909002435189568,-0.02940900243518957
2003-09-23,2003-11-04,1,30,0.04695148367554269,0.04645148367554269
2004-09-22,2004-11-03,1,30,0.5276392104365439,0.527139210436544
2005-09-22,2005-11-03,1,30,-0.07904763966370709,-0.07954763966370709
2006-09-22,2006-11-03,1,30,0.6343860918742812,0.6338860918742812
2007-09-24,2007-11-05,1,30,0.38453952744809516,0.38403952744809516
2008-09-23,2008-11-04,1,30,-0.10707758846674242,-0.10757758846674242
2009-09-22,2009-11-03,1,30,0.3489932648751082,0.3484932648751082
2010-09-22,2010-11-03,1,30,-0.012503196202190314,-0.013003196202190315
2011-09-22,2011-11-03,1,30,0.005093848072011964,0.0045938480720119634
2012-09-24,2012-11-05,1,28,0.23188905114942115,0.23138905114942115
2013-09-24,2013-11-05,1,30,-0.04358691419572147,-0.04408691419572147
2014-09-23,2014-11-04,1,30,0.05090911793174069,0.05040911793174069
2015-09-22,2015-11-03,1,30,-0.12320245546122166,-0.12370245546122166
2016-09-22,2016-11-03,1,29,-0.0866862522945937,-0.0871862522945937
2017-09-22,2017-11-03,1,30,-0.003733929406737224,-0.004233929406737225
2018-09-24,2018-11-05,1,30,0.10312392408310367,0.10262392408310367
2019-09-24,2019-11-05,1,30,0.11634355146133535,0.11584355146133535
2020-09-22,2020-11-03,1,30,0.76784735182578,0.7673473518257801
2021-09-22,2021-11-03,1,30,0.15338189695851345,0.15288189695851345
2022-09-22,2022-11-03,1,30,-0.19424086866626944,-0.19474086866626944
2023-09-22,2023-11-03,1,30,0.33026820812353286,0.32976820812353286
2024-09-24,2024-11-05,1,30,0.06429391053563793,0.06379391053563793
2025-09-23,2025-11-04,1,30,0.5203135433733617,0.5198135433733617
