entry_date,exit_date,direction,holding_days,gross_return,pnl
2000-12-04,2001-01-16,1,8,0.06459330143540676,0.06409330143540676
2001-12-04,2002-01-03,1,19,-0.04201680672268915,-0.04251680672268915
2002-12-03,2003-01-03,1,21,-0.013527575442247697,-0.014027575442247697
2003-12-02,2004-01-05,1,22,0.027383367139959036,0.026883367139959036
2004-12-02,2005-01-04,1,22,0.053524804177546015,0.053024804177546014
2005-12-02,2006-01-04,1,21,0.16248348745046304,0.16198348745046304
2006-12-04,2007-01-04,1,20,-0.009358288770053846,-0.009858288770053847
2007-12-04,2008-01-03,1,20,0.19818652849741025,0.19768652849741025
2008-12-02,2009-01-05,1,22,0.23891810668670188,0.23841810668670188
2009-12-02,2010-01-05,1,22,0.046904315196998114,0.046404315196998114
2010-12-02,2011-01-04,1,22,0.1246035342093339,0.1241035342093339
2011-12-02,2012-01-04,1,21,0.10718789407314055,0.10668789407314055
2012-12-04,2013-01-03,1,20,-0.07777036048064079,-0.07827036048064079
2013-12-03,2014-01-03,1,21,0.009603841536614866,0.009103841536614865
2014-12-02,2015-01-05,1,22,0.053928095872169735,0.053428095872169734
2015-12-02,2016-01-05,1,22,-0.04223433242506813,-0.04273433242506813
2016-12-02,2017-01-04,1,21,0.0723436322532025,0.0718436322532025
2017-12-04,2018-01-03,1,20,0.024655547498187325,0.024155547498187324
2018-12-04,2019-01-03,1,17,0.012121212121211977,0.011621212121211977
2019-12-03,2020-01-03,1,21,0.048192771084337505,0.047692771084337504
2020-12-02,2021-01-05,1,22,0.16636528028933095,0.16586528028933095
2021-12-02,2022-01-04,1,22,0.03015734265734249,0.02965734265734249
2022-12-02,2023-01-04,1,21,0.03153846153846129,0.031038461538461293
2023-12-04,2024-01-03,1,20,-0.0016146393972010786,-0.0021146393972010786
2024-12-03,2025-01-03,1,21,0.08244994110718529,0.08194994110718529
2025-12-02,2026-01-05,1,22,0.01097631426920831,0.010476314269208309
