entry_date,exit_date,direction,holding_days,gross_return,pnl
2000-01-05,2000-01-27,1,15,0.06811497288811141,0.06761497288811141
2000-12-07,2001-01-29,1,34,0.25838239505380733,0.25788239505380733
2001-12-07,2002-01-29,1,33,-0.040468297641851,-0.040968297641851004
2002-12-09,2003-01-28,1,33,0.06753509460326912,0.06703509460326912
2003-12-09,2004-01-27,1,30,0.15746319235787443,0.15696319235787443
2004-12-07,2005-01-27,1,34,-0.0850607842951906,-0.0855607842951906
2005-12-07,2006-01-27,1,21,-0.0025390358216803577,-0.0030390358216803577
2006-12-07,2007-01-31,1,16,0.047743282806770315,0.047243282806770315
2007-12-07,2008-02-29,1,15,0.6848999272094047,0.6843999272094048
2008-12-09,2009-01-27,1,28,0.06876790830945567,0.06826790830945567
2009-12-08,2010-01-27,1,33,0.14619099191136797,0.14569099191136797
2010-12-07,2011-01-27,1,35,0.06998600052170523,0.06948600052170523
2011-12-07,2012-01-27,1,34,0.0378403376487606,0.0373403376487606
2012-12-07,2013-01-29,1,34,0.06361872011587377,0.06311872011587377
2013-12-09,2014-01-28,1,33,-0.01876400511784082,-0.01926400511784082
2014-12-09,2015-01-27,1,32,-0.018977782300599655,-0.019477782300599655
2015-12-08,2016-01-27,1,33,-0.11308505875479902,-0.11358505875479902
2016-12-07,2017-01-27,1,34,-0.014566758402897784,-0.015066758402897784
2017-12-07,2018-01-30,1,34,0.08601663863902398,0.08551663863902398
2018-12-07,2019-01-29,1,34,0.13773023454228994,0.13723023454228994
2019-12-09,2020-01-28,1,33,0.19759253667305532,0.19709253667305532
2020-12-08,2021-01-27,1,33,-0.008632827050269132,-0.009132827050269132
2021-12-07,2022-01-27,1,35,0.27242173288483773,0.27192173288483773
2022-12-07,2023-01-27,1,34,-0.09501936967777636,-0.09551936967777636
2023-12-07,2024-01-29,1,34,0.01487620907787579,0.01437620907787579
2024-12-09,2025-01-28,1,33,0.003436413448835829,0.002936413448835829
2025-12-09,2026-01-27,1,32,0.46259095312182263,0.46209095312182263
