entry_date,exit_date,direction,holding_days,gross_return,pnl
2000-06-09,2000-07-06,1,18,0.06234709733260391,0.061847097332603906
2001-06-11,2001-07-06,1,18,-0.012746194115707987,-0.013246194115707988
2002-06-11,2002-07-09,1,18,4.440892098500626e-16,-0.0004999999999995559
2003-06-10,2003-07-08,1,19,-0.016616262625200884,-0.017116262625200884
2004-06-09,2004-07-07,1,18,0.16978422123159032,0.16928422123159031
2005-06-09,2005-07-06,1,18,0.06947615363367876,0.06897615363367876
2006-06-09,2006-07-06,1,18,0.1324019135161414,0.1319019135161414
2007-06-11,2007-07-06,1,18,0.10917544384901645,0.10867544384901645
2008-06-10,2008-07-08,1,19,0.39381450758893743,0.39331450758893743
2009-06-09,2009-07-07,1,19,0.12687051553573991,0.1263705155357399
2010-06-09,2010-07-07,1,19,0.12163981221076137,0.12113981221076137
2011-06-09,2011-07-06,1,18,0.10621240631249051,0.10571240631249051
2012-06-11,2012-07-06,1,18,0.09709712605130916,0.09659712605130916
2013-06-11,2013-07-08,1,18,-0.0073259424928540096,-0.00782594249285401
2014-06-10,2014-07-08,1,19,0.031213233270541263,0.030713233270541263
2015-06-09,2015-07-07,1,19,0.026315764707210976,0.025815764707210975
2016-06-09,2016-07-06,1,18,0.06425294184930919,0.06375294184930919
2017-06-09,2017-07-06,1,18,-0.04323569588297316,-0.04373569588297316
2018-06-11,2018-07-06,1,18,-0.06285718022560571,-0.06335718022560571
2019-06-11,2019-07-08,1,18,-0.003225803474482203,-0.003725803474482203
2020-06-09,2020-07-07,1,19,-0.0008374602645671025,-0.0013374602645671026
2021-06-09,2021-07-07,1,19,0.009034543367143932,0.008534543367143932
2022-06-09,2022-07-06,1,17,-0.062170723584577314,-0.06267072358457731
2023-06-09,2023-07-06,1,17,-0.07653056870579789,-0.07703056870579789
2024-06-11,2024-07-08,1,17,0.08105208249615914,0.08055208249615914
2025-06-10,2025-07-07,1,18,-0.017396575536897996,-0.017896575536897996
