entry_date,exit_date,direction,holding_days,gross_return,pnl
1993-02-01,1993-02-05,1,4,0.02418115912528629,0.023881159125286287
1993-03-01,1993-03-05,1,4,0.010554958500301526,0.010254958500301526
1993-04-01,1993-04-07,1,4,-0.022130141931480107,-0.02243014193148011
1993-05-03,1993-05-07,1,4,0.0092261362084336,0.0089261362084336
1993-06-01,1993-06-07,1,4,0.001382182714864566,0.001082182714864566
1993-07-01,1993-07-08,1,4,-0.01594976977738627,-0.01624976977738627
1993-08-02,1993-08-06,1,4,0.0013932522190656105,0.0010932522190656106
1993-09-01,1993-09-08,1,4,-0.010738646028987109,-0.011038646028987109
1993-10-01,1993-10-07,1,4,0.004082327834049382,0.003782327834049382
1993-11-01,1993-11-05,1,4,-0.021346766796935368,-0.02164676679693537
1993-12-01,1993-12-07,1,4,0.011463289651308939,0.011163289651308939
1994-01-03,1994-01-07,1,4,0.0033540093998483123,0.0030540093998483123
1994-02-01,1994-02-07,1,4,-0.025923740215585744,-0.026223740215585746
1994-03-01,1994-03-07,1,4,-0.0026703645946654087,-0.0029703645946654086
1994-04-04,1994-04-08,1,4,0.009811466311060668,0.009511466311060668
1994-05-02,1994-05-06,1,4,0.0020792452892088864,0.0017792452892088865
1994-06-01,1994-06-07,1,4,0.00886755493399205,0.00856755493399205
1994-07-01,1994-07-08,1,4,0.010189178237198337,0.009889178237198338
1994-08-01,1994-08-05,1,4,0.0006809513411918378,0.0003809513411918378
1994-09-01,1994-09-08,1,4,-0.008196207721647197,-0.008496207721647197
1994-10-03,1994-10-07,1,4,-0.01996647160566356,-0.020266471605663562
1994-11-01,1994-11-07,1,4,-0.024349865069830945,-0.024649865069830947
1994-12-01,1994-12-07,1,4,0.0010277082942409255,0.0007277082942409255
1995-01-03,1995-01-09,1,4,0.01063116285545429,0.01033116285545429
1995-02-01,1995-02-07,1,4,0.024219916105286732,0.02391991610528673
1995-03-01,1995-03-07,1,4,-0.004143356464794579,-0.0044433564647945786
1995-04-03,1995-04-07,1,4,0.01278457407253053,0.01248457407253053
