Div,Season,Date,HomeTeam,AwayTeam,FTR,outcome,odds,ev,fair_p_open,fair_p_close,win,clv,pnl_gross,pnl_tax,pnl_slip,suspect
E0,2021,2020-12-30,Newcastle,Liverpool,D,H,12.0,0.16392552371676627,0.09699379364306385,0.08718377188629656,0.0,0.046205262635558686,-1.0,-1.053,-1.0,False
E0,2223,2023-04-16,Nott'm Forest,Man United,A,H,5.5,0.03352337457371757,0.187913340831585,0.1859294757896406,0.0,0.022612116843023333,-1.0,-1.053,-1.0,False
E0,2324,2023-12-06,Aston Villa,Man City,H,H,4.75,0.04209004208845846,0.2193873772817807,0.18464592433017152,1.0,-0.12293185943168528,3.75,3.697,3.7125000000000004,False
E1,2324,2023-09-20,Hull,Leeds,D,H,4.2,0.03820717056136358,0.24719218346699132,0.25192179628634054,0.0,0.05807154440263029,-1.0,-1.053,-1.0,False
,2425,2025-01-18,Portsmouth,Middlesbrough,H,H,4.5,0.033369804873702336,0.22963773441637828,0.23485186323742968,1.0,0.056833384568433676,3.5,3.447,3.465,False
,2425,2025-01-22,Plymouth,Burnley,A,H,6.0,0.04511280215347502,0.17418546702557916,0.15746056585504697,0.0,-0.05523660486971815,-1.0,-1.053,-1.0,False
D1,1920,2019-08-31,Union Berlin,Dortmund,H,H,10.0,0.06409671478519718,0.10640967147851972,0.11805909196476323,1.0,0.1805909196476323,9.0,8.947,8.91,False
D1,1920,2020-01-19,Hertha,Bayern Munich,A,H,10.0,0.07959070943315738,0.10795907094331574,0.08726959853527384,0.0,-0.1273040146472616,-1.0,-1.053,-1.0,False
D1,2021,2021-01-24,Schalke 04,Bayern Munich,A,H,16.0,0.08406948148671178,0.06775434259291949,0.060544624342672965,0.0,-0.031286010517232565,-1.0,-1.053,-1.0,False
D1,2021,2021-05-15,Freiburg,Bayern Munich,D,H,10.0,0.04849934799269695,0.1048499347992697,0.10031973753935343,0.0,0.003197375393534374,-1.0,-1.053,-1.0,False
D1,2122,2022-01-15,Stuttgart,RB Leipzig,A,H,6.0,0.03161186919131298,0.17193531153188552,0.16187405856328183,0.0,-0.028755648620309104,-1.0,-1.053,-1.0,False
D1,2223,2022-09-17,Augsburg,Bayern Munich,H,H,17.0,0.037914074115645846,0.06105376906562623,0.05892343647951252,1.0,0.0016984201517129538,16.0,15.947,15.84,False
D1,2223,2023-03-04,Stuttgart,Bayern Munich,A,H,7.0,0.052260738635824255,0.1503229626622606,0.1417146646567777,0.0,-0.007997347402556088,-1.0,-1.053,-1.0,False
D1,2223,2023-03-19,Leverkusen,Bayern Munich,H,H,5.25,0.06105121177811701,0.20210499271964133,0.21758671470063745,1.0,0.14233025217834672,4.25,4.197,4.2075,False
,2425,2024-09-22,St Pauli,RB Leipzig,D,H,5.75,0.04383143331530692,0.18153590144614032,0.18165932247849162,0.0,0.044541104251326846,-1.0,-1.053,-1.0,False
D2,1920,2019-11-03,Wehen,Hamburg,D,H,5.75,0.10737097483280134,0.19258625649266112,0.15474529804773204,0.0,-0.11021453622554078,-1.0,-1.053,-1.0,False
D2,1920,2019-11-09,Osnabruck,Stuttgart,H,H,4.5,0.06603561264795466,0.2368968028106566,0.22136688420376832,1.0,-0.0038490210830425253,3.5,3.447,3.465,False
D2,1920,2019-11-30,Dresden,Holstein Kiel,A,H,3.6,0.04641302007214998,0.29067028335337497,0.29479352315706076,0.0,0.061256683365418674,-1.0,-1.053,-1.0,False
D2,2021,2021-04-11,Wurzburger Kickers,Nurnberg,D,H,3.8,0.032919276725958735,0.2718208622963049,0.24535717413688365,0.0,-0.06764273827984213,-1.0,-1.053,-1.0,False
D2,2122,2021-08-22,Ingolstadt,Nurnberg,D,H,4.0,0.03259528737973194,0.258148821844933,0.28010550342658197,0.0,0.12042201370632788,-1.0,-1.053,-1.0,False
D2,2122,2022-03-12,Paderborn,Fortuna Dusseldorf,D,H,2.1,0.07640318370689925,0.5125729446223329,0.46849624261500034,0.0,-0.01615789050849925,-1.0,-1.053,-1.0,False
