Div,Season,Date,HomeTeam,AwayTeam,FTR,outcome,odds,ev,fair_p_open,fair_p_close,win,clv,pnl_gross,pnl_tax,pnl_slip,suspect,ret_primary,ret_stress,stake
E0,2021,2020-12-30,Newcastle,Liverpool,D,H,12.0,0.16392552371676627,0.09699379364306385,0.08718377188629656,0.0,0.046205262635558686,-1.0,-1.053,-1.0,False,-1.0,-1.053,0.0037255800844719607
E0,2223,2023-04-16,Nott'm Forest,Man United,A,H,5.5,0.03352337457371757,0.187913340831585,0.1859294757896406,0.0,0.022612116843023333,-1.0,-1.053,-1.0,False,-1.0,-1.053,0.0018624096985398648
E0,2324,2023-12-06,Aston Villa,Man City,H,H,4.75,0.04209004208845846,0.2193873772817807,0.18464592433017152,1.0,-0.12293185943168528,3.75,3.697,3.7125000000000004,False,3.7125000000000004,3.6595000000000004,0.0028060028058972306
E1,2122,2021-10-19,Stoke,Bournemouth,A,H,2.7,0.021400759929033564,0.3782965777514939,0.36095298800728093,0.0,-0.025426932380341438,-1.0,-1.053,-1.0,False,-1.0,-1.053,0.0031471705777990533
E1,2122,2021-12-27,QPR,Bournemouth,A,H,2.8,0.020466635845176606,0.364452369944706,0.3391082122701103,0.0,-0.050497005643691306,-1.0,-1.053,-1.0,False,-1.0,-1.053,0.0028425883118300844
E1,2324,2023-09-20,Hull,Leeds,D,H,4.2,0.03820717056136358,0.24719218346699132,0.25192179628634054,0.0,0.05807154440263029,-1.0,-1.053,-1.0,False,-1.0,-1.053,0.0029849352001065296
E1,2324,2023-12-23,QPR,Southampton,A,H,5.25,0.026960933575129298,0.1956116063952627,0.19732688205132942,0.0,0.03596613076947941,-1.0,-1.053,-1.0,False,-1.0,-1.053,0.0015859372691252528
,2425,2025-01-18,Portsmouth,Middlesbrough,H,H,4.5,0.033369804873702336,0.22963773441637828,0.23485186323742968,1.0,0.056833384568433676,3.5,3.447,3.465,False,3.465,3.412,0.0023835574909787383
,2425,2025-01-22,Plymouth,Burnley,A,H,6.0,0.04511280215347502,0.17418546702557916,0.15746056585504697,0.0,-0.05523660486971815,-1.0,-1.053,-1.0,False,-1.0,-1.053,0.0022556401076737507
D1,1920,2019-08-24,Fortuna Dusseldorf,Leverkusen,A,H,4.75,0.022777906512789325,0.21532166452900828,0.1986604305287917,0.0,-0.0563629549882394,-1.0,-1.053,-1.0,False,-1.0,-1.053,0.0015185271008526216
D1,1920,2019-08-31,Union Berlin,Dortmund,H,H,10.0,0.06409671478519718,0.10640967147851972,0.11805909196476323,1.0,0.1805909196476323,9.0,8.947,8.91,False,8.91,8.857,0.0017804642995888106
D1,1920,2020-01-19,Hertha,Bayern Munich,A,H,10.0,0.07959070943315738,0.10795907094331574,0.08726959853527384,0.0,-0.1273040146472616,-1.0,-1.053,-1.0,False,-1.0,-1.053,0.002210853039809927
D1,2021,2021-01-24,Schalke 04,Bayern Munich,A,H,16.0,0.08406948148671178,0.06775434259291949,0.060544624342672965,0.0,-0.031286010517232565,-1.0,-1.053,-1.0,False,-1.0,-1.053,0.0014011580247785297
D1,2021,2021-05-15,Freiburg,Bayern Munich,D,H,10.0,0.04849934799269695,0.1048499347992697,0.10031973753935343,0.0,0.003197375393534374,-1.0,-1.053,-1.0,False,-1.0,-1.053,0.0013472041109082486
D1,2122,2022-01-15,Stuttgart,RB Leipzig,A,H,6.0,0.03161186919131298,0.17193531153188552,0.16187405856328183,0.0,-0.028755648620309104,-1.0,-1.053,-1.0,False,-1.0,-1.053,0.001580593459565649
D1,2223,2022-09-17,Augsburg,Bayern Munich,H,H,17.0,0.037914074115645846,0.06105376906562623,0.05892343647951252,1.0,0.0016984201517129538,16.0,15.947,15.84,False,15.84,15.786999999999999,0.0005924074080569663
D1,2223,2023-03-04,Stuttgart,Bayern Munich,A,H,7.0,0.052260738635824255,0.1503229626622606,0.1417146646567777,0.0,-0.007997347402556088,-1.0,-1.053,-1.0,False,-1.0,-1.053,0.0021775307764926775
D1,2223,2023-03-19,Leverkusen,Bayern Munich,H,H,5.25,0.06105121177811701,0.20210499271964133,0.21758671470063745,1.0,0.14233025217834672,4.25,4.197,4.2075,False,4.2075,4.1545,0.003591247751653942
D1,2324,2024-03-03,FC Koln,Leverkusen,A,H,9.0,0.02057675794262037,0.11339741754918004,0.10713880069501751,0.0,-0.03575079374484247,-1.0,-1.053,-1.0,False,-1.0,-1.053,0.0006430236857068866
,2425,2024-09-22,St Pauli,RB Leipzig,D,H,5.75,0.04383143331530692,0.18153590144614032,0.18165932247849162,0.0,0.044541104251326846,-1.0,-1.053,-1.0,False,-1.0,-1.053,0.0023069175429108906
,2526,2026-01-13,Mainz,Heidenheim,H,H,1.75,0.021773648138579738,0.5838706560791884,0.5838706560791884,1.0,0.021773648138579738,0.75,0.697,0.7424999999999999,False,0.7424999999999999,0.6894999999999999,0.007257882712859913
D2,1920,2019-11-03,Wehen,Hamburg,D,H,5.75,0.10737097483280134,0.19258625649266112,0.15474529804773204,0.0,-0.11021453622554078,-1.0,-1.053,-1.0,False,-1.0,-1.053,0.005651103938568491
D2,1920,2019-11-09,Osnabruck,Stuttgart,H,H,4.5,0.06603561264795466,0.2368968028106566,0.22136688420376832,1.0,-0.0038490210830425253,3.5,3.447,3.465,False,3.465,3.412,0.004716829474853904
D2,1920,2019-11-30,Dresden,Holstein Kiel,A,H,3.6,0.04641302007214998,0.29067028335337497,0.29479352315706076,0.0,0.061256683365418674,-1.0,-1.053,-1.0,False,-1.0,-1.053,0.0044627903915528825
D2,2021,2020-12-19,Braunschweig,Greuther Furth,A,H,5.25,0.02855605931529337,0.19591543986957968,0.29230831574264327,0.0,0.5346186576488772,-1.0,-1.053,-1.0,False,-1.0,-1.053,0.001679768195017257
D2,2021,2021-04-11,Wurzburger Kickers,Nurnberg,D,H,3.8,0.032919276725958735,0.2718208622963049,0.24535717413688365,0.0,-0.06764273827984213,-1.0,-1.053,-1.0,False,-1.0,-1.053,0.002939221136246316
D2,2122,2021-08-22,Ingolstadt,Nurnberg,D,H,4.0,0.03259528737973194,0.258148821844933,0.28010550342658197,0.0,0.12042201370632788,-1.0,-1.053,-1.0,False,-1.0,-1.053,0.0027162739483109952
D2,2122,2022-03-12,Paderborn,Fortuna Dusseldorf,D,H,2.1,0.07640318370689925,0.5125729446223329,0.46849624261500034,0.0,-0.01615789050849925,-1.0,-1.053,-1.0,False,-1.0,-1.053,0.01736435993338619
D2,2324,2024-05-03,Hamburg,St Pauli,H,H,2.38,0.028495601935029535,0.432141009216399,0.44928333597091846,1.0,0.0692943396107859,1.38,1.327,1.3662,False,1.3662,1.3132000000000001,0.005162246727360423
D2,2324,2024-05-19,Wehen,St Pauli,A,H,3.0,0.04099830817673711,0.34699943605891237,0.3181679228939468,0.0,-0.04549623131815961,-1.0,-1.053,-1.0,False,-1.0,-1.053,0.0051247885220921385
SP1,1920,2019-09-26,Eibar,Sevilla,H,H,3.5,0.030858949696987548,0.2945311284848536,0.27031346769409065,1.0,-0.053902863070682705,2.5,2.447,2.475,False,2.475,2.422,0.003085894969698755
SP1,1920,2019-11-02,Levante,Barcelona,H,H,9.0,0.04226182468824069,0.11580686940980452,0.10939108167041642,1.0,-0.01548026496625221,8.0,7.947,7.92,False,7.92,7.867,0.0013206820215075216
SP1,1920,2019-11-10,Mallorca,Villarreal,H,H,3.6,0.03128640839640373,0.2864684467767788,0.26314420410756434,1.0,-0.05268086521276838,2.6,2.547,2.574,False,2.574,2.521,0.0030083084996542046
SP1,1920,2019-12-14,Sociedad,Barcelona,D,H,5.25,0.034920202710452486,0.1971276576591338,0.18008530085874708,0.0,-0.0545521704915779,-1.0,-1.053,-1.0,False,-1.0,-1.053,0.0020541295712030875
SP1,1920,2020-03-08,Betis,Real Madrid,H,H,4.5,0.04184520196740249,0.2315211559927561,0.22389434484343115,1.0,0.007524551795440093,3.5,3.447,3.465,False,3.465,3.412,0.0029889429976716064
SP1,2324,2024-02-18,Vallecano,Real Madrid,D,H,6.0,0.04052962928337389,0.17342160488056232,0.17650990985194737,0.0,0.0590594591116842,-1.0,-1.053,-1.0,False,-1.0,-1.053,0.0020264814641686945
,2425,2025-04-12,Leganes,Barcelona,A,H,8.5,0.04592816164476998,0.12305037195820824,0.08358645129708729,0.0,-0.28951516397475807,-1.0,-1.053,-1.0,False,-1.0,-1.053,0.0015309387214923328
,2526,2025-08-23,Levante,Barcelona,A,H,11.0,0.02035235037844485,0.09275930457985862,0.08030717717582166,0.0,-0.11662105106596177,-1.0,-1.053,-1.0,False,-1.0,-1.053,0.0005088087594611213
,2526,2025-10-19,Getafe,Real Madrid,A,H,8.0,0.05313779610870717,0.1316422245135884,0.12489663207736904,0.0,-0.0008269433810477178,-1.0,-1.053,-1.0,False,-1.0,-1.053,0.0018977784324538274
I1,1920,2020-01-19,Lecce,Inter,D,H,11.0,0.023071476431984816,0.09300649785745316,0.08413875272975099,0.0,-0.0744737199727391,-1.0,-1.053,-1.0,False,-1.0,-1.053,0.0005767869107996204
I1,2021,2021-04-26,Torino,Napoli,A,H,4.75,0.039739992099975696,0.21889262991578434,0.2567930951737533,0.0,0.2197672020753283,-1.0,-1.053,-1.0,False,-1.0,-1.053,0.0026493328066650463
I1,2223,2023-02-26,Bologna,Inter,H,H,5.5,0.05371019653506259,0.1915836720972841,0.1864605290080487,1.0,0.02553290954426779,4.5,4.447,4.455,False,4.455,4.402,0.002983899807503477
I1,2324,2023-08-28,Cagliari,Inter,A,H,7.5,0.05714574403063,0.14095276587075067,0.12335434560016366,0.0,-0.07484240799877251,-1.0,-1.053,-1.0,False,-1.0,-1.053,0.0021979132319473074
F1,1920,2019-08-10,Dijon,St Etienne,A,H,4.0,0.04678231725920856,0.26169557931480214,0.25122890789189206,0.0,0.004915631567568246,-1.0,-1.053,-1.0,False,-1.0,-1.053,0.00389852643826738
