snapshot_at,event_id,sport_key,commence_time,home,away,pin_h,pin_d,pin_a
2026-06-12T16:22:42.335823+00:00,04240ffc2f6b21f235e0f417a7cdb36c,soccer_finland_veikkausliiga,2026-06-13T12:00:00Z,FC Inter Turku,AC Oulu,1.72,3.85,4.97
2026-06-12T16:22:42.335823+00:00,2cb36ef3c2dcb8e1bc87ec85f47db467,soccer_finland_veikkausliiga,2026-06-13T12:00:00Z,Ilves Tampere,TPS Turku,1.91,3.96,3.78
2026-06-12T16:22:42.335823+00:00,4caad9d5b7d9ae428a13742ee62ebdda,soccer_finland_veikkausliiga,2026-06-13T14:00:00Z,Jaro,HJK Helsinki,4.45,4.03,1.76
2026-06-12T16:22:42.335823+00:00,05c57e769f0cbfeceadc9dd0384cee83,soccer_finland_veikkausliiga,2026-06-13T14:00:00Z,VPS Vaasa,KuPS Kuopio,3.43,3.42,2.2
2026-06-12T16:22:42.335823+00:00,c977f7d4eb81e5bda007bc30b6c3b72c,soccer_finland_veikkausliiga,2026-06-13T16:00:00Z,FC Lahti,SJK Seinäjoki,2.34,3.53,3.04
2026-06-12T16:22:42.335823+00:00,36476117dea6fffecdb67e49bde1a883,soccer_finland_veikkausliiga,2026-06-13T16:00:00Z,IFK Mariehamn,IF Gnistan,3.81,3.53,2.03
2026-06-12T16:24:03.777205+00:00,04240ffc2f6b21f235e0f417a7cdb36c,soccer_finland_veikkausliiga,2026-06-13T12:00:00Z,FC Inter Turku,AC Oulu,1.72,3.85,4.97
2026-06-12T16:24:03.777205+00:00,2cb36ef3c2dcb8e1bc87ec85f47db467,soccer_finland_veikkausliiga,2026-06-13T12:00:00Z,Ilves Tampere,TPS Turku,1.91,3.96,3.78
2026-06-12T16:24:03.777205+00:00,4caad9d5b7d9ae428a13742ee62ebdda,soccer_finland_veikkausliiga,2026-06-13T14:00:00Z,Jaro,HJK Helsinki,4.45,4.03,1.76
2026-06-12T16:24:03.777205+00:00,05c57e769f0cbfeceadc9dd0384cee83,soccer_finland_veikkausliiga,2026-06-13T14:00:00Z,VPS Vaasa,KuPS Kuopio,3.43,3.42,2.2
2026-06-12T16:24:03.777205+00:00,c977f7d4eb81e5bda007bc30b6c3b72c,soccer_finland_veikkausliiga,2026-06-13T16:00:00Z,FC Lahti,SJK Seinäjoki,2.34,3.53,3.04
2026-06-12T16:24:03.777205+00:00,36476117dea6fffecdb67e49bde1a883,soccer_finland_veikkausliiga,2026-06-13T16:00:00Z,IFK Mariehamn,IF Gnistan,3.81,3.53,2.03
2026-06-12T16:30:03.907128+00:00,04240ffc2f6b21f235e0f417a7cdb36c,soccer_finland_veikkausliiga,2026-06-13T12:00:00Z,FC Inter Turku,AC Oulu,1.72,3.85,4.97
2026-06-12T16:30:03.907128+00:00,2cb36ef3c2dcb8e1bc87ec85f47db467,soccer_finland_veikkausliiga,2026-06-13T12:00:00Z,Ilves Tampere,TPS Turku,1.91,3.96,3.78
2026-06-12T16:30:03.907128+00:00,4caad9d5b7d9ae428a13742ee62ebdda,soccer_finland_veikkausliiga,2026-06-13T14:00:00Z,Jaro,HJK Helsinki,4.45,4.03,1.76
2026-06-12T16:30:03.907128+00:00,05c57e769f0cbfeceadc9dd0384cee83,soccer_finland_veikkausliiga,2026-06-13T14:00:00Z,VPS Vaasa,KuPS Kuopio,3.43,3.42,2.2
2026-06-12T16:30:03.907128+00:00,c977f7d4eb81e5bda007bc30b6c3b72c,soccer_finland_veikkausliiga,2026-06-13T16:00:00Z,FC Lahti,SJK Seinäjoki,2.34,3.53,3.04
2026-06-12T16:30:03.907128+00:00,36476117dea6fffecdb67e49bde1a883,soccer_finland_veikkausliiga,2026-06-13T16:00:00Z,IFK Mariehamn,IF Gnistan,3.81,3.53,2.03
2026-06-12T17:11:34.322047+00:00,04240ffc2f6b21f235e0f417a7cdb36c,soccer_finland_veikkausliiga,2026-06-13T12:00:00Z,FC Inter Turku,AC Oulu,1.72,3.85,4.97
2026-06-12T17:11:34.322047+00:00,2cb36ef3c2dcb8e1bc87ec85f47db467,soccer_finland_veikkausliiga,2026-06-13T12:00:00Z,Ilves Tampere,TPS Turku,1.84,4.02,4.02
2026-06-12T17:11:34.322047+00:00,4caad9d5b7d9ae428a13742ee62ebdda,soccer_finland_veikkausliiga,2026-06-13T14:00:00Z,Jaro,HJK Helsinki,4.45,4.03,1.76
2026-06-12T17:11:34.322047+00:00,05c57e769f0cbfeceadc9dd0384cee83,soccer_finland_veikkausliiga,2026-06-13T14:00:00Z,VPS Vaasa,KuPS Kuopio,3.43,3.42,2.2
2026-06-12T17:11:34.322047+00:00,c977f7d4eb81e5bda007bc30b6c3b72c,soccer_finland_veikkausliiga,2026-06-13T16:00:00Z,FC Lahti,SJK Seinäjoki,2.34,3.53,3.04
2026-06-12T17:11:34.322047+00:00,36476117dea6fffecdb67e49bde1a883,soccer_finland_veikkausliiga,2026-06-13T16:00:00Z,IFK Mariehamn,IF Gnistan,3.81,3.53,2.03
2026-06-12T17:11:34.322047+00:00,c537fb6bbc53be07501dbd35e3537dd0,soccer_league_of_ireland,2026-06-12T18:45:00Z,Derry City,Bohemians,3.06,3.21,2.5
2026-06-12T17:11:34.322047+00:00,6fef2d5783d5d60a0195062cca67ae1a,soccer_league_of_ireland,2026-06-12T18:45:00Z,St Patricks Athletic,Drogheda United,1.45,4.47,7.64
2026-06-12T17:11:34.322047+00:00,9997ab261a19e9796bf9771b6232ca63,soccer_league_of_ireland,2026-06-12T18:45:00Z,Galway United,Dundalk,2.81,3.7,2.42
2026-06-12T17:11:34.322047+00:00,d3a1861fc1aac555e5fd66d3143941d3,soccer_league_of_ireland,2026-06-12T18:45:00Z,Waterford FC,Sligo Rovers,2.08,3.44,3.73
2026-06-12T17:11:34.322047+00:00,4d7d321d5949095c19e75b5d6bb194d7,soccer_league_of_ireland,2026-06-12T19:00:00Z,Shelbourne Dublin,Shamrock Rovers,2.78,3.13,2.78
