outcome,odds,ev,ret,country
H,1.56,0.0261308177323325,0.56,AUT
H,2.06,0.051706257564192226,-1.0,AUT
H,2.58,0.11523692247201534,-1.0,AUT
H,2.46,0.04978371035847151,-1.0,AUT
H,4.39,0.06326022608154136,-1.0,AUT
H,2.95,0.059359822720264965,1.9500000000000002,AUT
H,2.32,0.05638944775667665,-1.0,AUT
A,15.85,0.16809072015425097,-1.0,AUT
A,3.07,0.07144611294151515,-1.0,AUT
A,4.63,0.1479041386591784,3.63,AUT
A,4.02,0.02042297978453944,-1.0,AUT
A,1.8,0.025297463369410966,0.8,AUT
A,3.06,0.10354596040421549,-1.0,AUT
A,2.45,0.08973873201420868,1.4500000000000002,AUT
A,2.35,0.04070268512158193,1.35,AUT
H,2.13,0.021511334835378593,1.13,DNK
H,3.94,0.07017982193555561,-1.0,DNK
H,3.16,0.032458185970536846,-1.0,DNK
H,2.68,0.0407001617988918,-1.0,DNK
H,1.7,0.024654344956962726,0.7,DNK
D,4.08,0.03353923964832428,-1.0,DNK
A,3.14,0.030382852789307524,-1.0,DNK
A,2.26,0.022677849537889205,1.2599999999999998,DNK
H,8.06,0.06706898502066183,-1.0,SWZ
H,2.2,0.07176315745198236,1.2000000000000002,SWZ
H,1.86,0.025139578624941983,-1.0,SWZ
H,3.2,0.11894303911951698,2.2,SWZ
H,2.33,0.026214583635839173,1.33,SWZ
D,5.13,0.02205956433457379,4.13,SWZ
A,4.27,0.09520524156114307,-1.0,SWZ
A,4.28,0.027971331407513622,-1.0,SWZ
A,2.0,0.06027574154506121,1.0,SWZ
H,2.82,0.03074776929223,-1.0,POL
H,2.32,0.042772468438995626,1.3199999999999998,POL
H,1.85,0.13050635850777415,0.8500000000000001,POL
A,2.12,0.03765052588304396,-1.0,POL
A,2.01,0.07224684952854621,-1.0,POL
A,2.75,0.0347266283811456,1.75,POL
A,2.41,0.0477468329553421,-1.0,POL
A,3.94,0.02692088832959416,-1.0,POL
A,3.25,0.11506333073551245,-1.0,POL
A,3.83,0.023568815595750525,2.83,POL
H,2.57,0.05053122801473098,-1.0,ARG
H,2.03,0.02495200334259562,1.0299999999999998,ARG
H,4.16,0.028494827087932828,3.16,ARG
H,1.69,0.04461602582406332,0.69,ARG
H,2.3,0.03556457608392183,-1.0,ARG
H,1.81,0.04499043236925737,-1.0,ARG
H,4.11,0.11553141998780192,3.1100000000000003,ARG
H,2.87,0.05115815263412804,-1.0,ARG
H,2.79,0.05359839211933948,1.79,ARG
H,2.54,0.08858987446951283,-1.0,ARG
H,2.74,0.06977620644980242,-1.0,ARG
H,2.26,0.02301188495382056,1.2599999999999998,ARG
H,2.39,0.12889197386331785,-1.0,ARG
D,3.57,0.029515330880061086,2.57,ARG
D,2.79,0.025958650991705357,-1.0,ARG
D,2.92,0.021414486182296688,-1.0,ARG
A,2.45,0.04572010615595823,1.4500000000000002,ARG
A,7.19,0.04515965197542959,-1.0,ARG
A,3.87,0.07484374426101015,-1.0,ARG
A,3.71,0.023916182271604747,-1.0,ARG
A,3.13,0.04510470977900072,-1.0,ARG
A,9.94,0.05392579541195652,8.94,ARG
H,1.5,0.04476622207447001,0.5,MEX
H,2.14,0.05691009828422611,-1.0,MEX
H,4.93,0.1830702162455462,-1.0,MEX
H,1.95,0.021033770222286474,0.95,MEX
H,2.51,0.043768866453592015,1.5099999999999998,MEX
D,3.18,0.02779774550093972,2.18,MEX
D,3.82,0.03902694995488454,-1.0,MEX
A,1.92,0.04911337980390029,0.9199999999999999,MEX
A,2.25,0.043850718719999016,-1.0,MEX
A,1.99,0.021086097918584956,0.99,MEX
A,3.43,0.1058585056758532,-1.0,MEX
A,3.19,0.08005323179700996,-1.0,MEX
A,2.04,0.05892867377521438,-1.0,MEX
A,5.66,0.03952436018628025,-1.0,MEX
A,1.63,0.07200891864306036,-1.0,MEX
A,2.97,0.05405177367245617,1.9700000000000002,MEX
A,5.17,0.025352455485853964,-1.0,MEX
H,2.69,0.036606095319538845,-1.0,CHN
H,3.11,0.024160624769526073,2.11,CHN
H,21.38,0.12540760658016792,-1.0,CHN
H,6.6,0.060501833534565064,5.6,CHN
H,1.76,0.02949413435027992,-1.0,CHN
H,1.81,0.07367551278803264,0.81,CHN
H,2.08,0.024507999299062222,1.08,CHN
H,3.93,0.044651974457742494,-1.0,CHN
H,6.24,0.03272373884875179,-1.0,CHN
H,2.74,0.10826007503167423,1.7400000000000002,CHN
H,8.28,0.18654660552904545,7.279999999999999,CHN
H,1.47,0.09657080431819942,-1.0,CHN
H,3.63,0.07044857496738288,-1.0,CHN
H,2.74,0.1526564643243702,-1.0,CHN
H,8.25,0.07962397127049536,-1.0,CHN
D,11.24,0.18411732344996468,-1.0,CHN
D,8.75,0.1056371986395197,7.75,CHN
D,18.22,0.139348216506342,-1.0,CHN
D,21.05,0.1252798233856185,-1.0,CHN
D,4.59,0.0929593266928741,-1.0,CHN
D,4.41,0.04411235598136232,-1.0,CHN
D,3.14,0.0405156358775991,-1.0,CHN
D,5.04,0.030133207338864043,-1.0,CHN
D,4.73,0.04115242372468564,-1.0,CHN
D,4.4,0.06013991292220733,3.4000000000000004,CHN
D,5.4,0.09152898440569679,-1.0,CHN
A,1.88,0.08484151367789305,-1.0,CHN
A,31.47,0.07446473590944946,-1.0,CHN
A,2.3,0.0511425515879147,-1.0,CHN
A,1.94,0.03508862506314814,-1.0,CHN
A,5.13,0.025229457725413296,4.13,CHN
A,39.42,0.0467500137367558,-1.0,CHN
A,2.0,0.02771568542797387,-1.0,CHN
A,7.53,0.06859267549139503,-1.0,CHN
A,6.28,0.054629262126548284,-1.0,CHN
A,2.54,0.12310153452141792,1.54,CHN
A,4.0,0.0802906014657494,-1.0,CHN
A,2.04,0.07061937173903399,1.04,CHN
A,2.11,0.0663274070671589,1.1099999999999999,CHN
A,3.99,0.10828672136130413,-1.0,CHN
A,2.18,0.10195382465565417,-1.0,CHN
A,12.5,0.0660021069308423,-1.0,CHN
A,1.59,0.08065946238351307,0.5900000000000001,CHN
A,1.97,0.09482718681051105,-1.0,CHN
A,5.88,0.025769936307817876,4.88,CHN
H,3.25,0.09065974214934092,-1.0,SWE
H,1.97,0.03825316590614891,0.97,SWE
H,5.17,0.050625984920255496,-1.0,SWE
H,2.32,0.05637626344460034,1.3199999999999998,SWE
H,3.05,0.07773155848432012,-1.0,SWE
H,2.36,0.027751467906907523,1.3599999999999999,SWE
H,1.49,0.02020559319079096,-1.0,SWE
H,2.76,0.02557957243525366,-1.0,SWE
H,2.09,0.08314886073793737,1.0899999999999999,SWE
H,1.94,0.05736550469792623,-1.0,SWE
H,2.47,0.03106315300405238,1.4700000000000002,SWE
H,2.87,0.1523416720913684,-1.0,SWE
A,1.65,0.03388168760744259,0.6499999999999999,SWE
A,2.24,0.026638867820755863,1.2400000000000002,SWE
A,3.87,0.1643465520009042,-1.0,SWE
H,1.86,0.02155661769201922,0.8600000000000001,NOR
H,2.6,0.06206466575768843,-1.0,NOR
H,1.94,0.14205169936333384,0.94,NOR
H,3.65,0.024080206637180135,-1.0,NOR
H,6.51,0.02980681793626383,-1.0,NOR
D,4.57,0.1323813769115958,-1.0,NOR
A,2.88,0.022415813618496427,-1.0,NOR
A,9.08,0.18678939660346106,-1.0,NOR
A,8.55,0.034365565276040844,-1.0,NOR
A,4.94,0.0689056281373388,-1.0,NOR
A,12.5,0.05548314693806522,-1.0,FIN
H,1.61,0.023548297663770867,0.6100000000000001,USA
H,1.88,0.04663550085605572,-1.0,USA
H,2.62,0.0554473303600751,-1.0,USA
H,1.57,0.03503084646865573,-1.0,USA
H,2.29,0.07116358031901227,1.29,USA
H,2.46,0.06320060375682579,-1.0,USA
H,3.94,0.05977887109623636,-1.0,USA
H,2.65,0.033934275420793414,1.65,USA
H,3.23,0.047962969361248,2.23,USA
H,3.58,0.024656864394418054,-1.0,USA
H,3.07,0.15601262669617033,-1.0,USA
A,8.1,0.049395123584977885,-1.0,USA
A,3.42,0.06013991791307438,-1.0,USA
A,4.01,0.0594421293557863,3.01,USA
A,2.6,0.07182480668695312,-1.0,USA
A,2.51,0.11567445666551057,-1.0,USA
A,4.26,0.04039420499345203,-1.0,USA
A,3.89,0.023742738389544327,-1.0,USA
A,3.57,0.04352922816514315,-1.0,USA
A,4.27,0.024141389532628343,-1.0,USA
A,6.13,0.05346222023013758,-1.0,USA
A,2.83,0.02751406659079736,1.83,USA
A,8.09,0.10986228242503637,-1.0,USA
H,2.45,0.125968560640199,-1.0,BRA
H,2.85,0.13105070280147046,-1.0,BRA
H,1.71,0.03690374123583884,0.71,BRA
H,3.77,0.10625609568520367,2.77,BRA
H,2.76,0.0580107535965142,1.7599999999999998,BRA
H,3.11,0.0201949529595169,2.11,BRA
H,3.26,0.10298565754527655,2.26,BRA
H,1.75,0.03076082959008719,0.75,BRA
D,3.66,0.06302458086359963,-1.0,BRA
D,3.3,0.02525790210974077,-1.0,BRA
A,2.31,0.029306539081690453,1.31,BRA
A,12.71,0.04664987096107254,-1.0,BRA
A,4.15,0.1415949302979851,-1.0,BRA
A,3.43,0.04812351853435759,-1.0,BRA
A,5.32,0.10544488028436927,-1.0,BRA
A,5.23,0.04130703476119946,-1.0,BRA
A,3.41,0.05303654282767334,2.41,BRA
H,2.03,0.02365399392959855,-1.0,JPN
H,4.1,0.043835990429858196,-1.0,JPN
H,2.11,0.033916900503527136,-1.0,JPN
H,2.26,0.06912156813396297,-1.0,JPN
A,2.22,0.03359474988647415,-1.0,JPN
A,3.15,0.06438823011409145,-1.0,JPN
A,8.26,0.05235729689104929,7.26,JPN
A,2.72,0.03553179873295664,1.7200000000000002,JPN
A,2.11,0.07271514203987817,1.1099999999999999,JPN
A,2.91,0.11131037339553629,1.9100000000000001,JPN
A,3.46,0.03631779979236449,-1.0,JPN
A,2.38,0.020063306162256156,1.38,JPN
A,2.61,0.09425696713422371,-1.0,JPN
A,3.33,0.13482633807151267,-1.0,JPN
A,4.11,0.09539863855239239,-1.0,JPN
A,2.23,0.17491723090837552,-1.0,JPN
H,3.1,0.043442715475320526,-1.0,IRL
H,3.92,0.026989363184323878,2.92,IRL
D,10.49,0.11780097995964,-1.0,IRL
A,6.66,0.026410301872882735,5.66,IRL
A,2.73,0.031224624387767408,1.73,IRL
A,3.44,0.02465769210286961,-1.0,IRL
A,2.47,0.07722271440048178,-1.0,IRL
A,4.23,0.09640829924415328,-1.0,IRL
