entry_time,exit_time,direction,entry,stop,exit,reason,r_price,holding_days,r_mult_gross,r_mult_net,pnl_frac_gross,pnl_frac_net
2017-08-22 00:00:00+00:00,2017-08-23 12:00:00+00:00,-1,3790.0,4256.406785714285,4256.406785714285,stop,466.40678571428543,36,-1.0,-1.048738454208045,-0.02,-0.020974769084160898
2017-08-26 12:00:00+00:00,2017-08-29 13:00:00+00:00,-1,4243.98,4441.821785714285,4441.821785714285,stop,197.84178571428583,73,-1.0,-1.110628457172668,-0.02,-0.02221256914345336
2017-09-02 05:00:00+00:00,2017-09-05 23:00:00+00:00,-1,4473.35,4986.6453571428565,4473.35,trail,513.2953571428561,90,-0.0,-0.0609428754121665,-0.0,-0.00121885750824333
2017-09-06 15:00:00+00:00,2017-09-14 11:00:00+00:00,1,4619.43,3553.029285714286,3553.029285714286,stop,1066.4007142857145,182,-1.0,-1.026823491403995,-0.02,-0.0205364698280799
2017-09-18 12:00:00+00:00,2017-11-29 19:00:00+00:00,1,4040.01,2774.0764285714286,9103.744285714287,trail,1265.9335714285717,1735,4.0,3.9215285119338796,0.08,0.0784305702386776
2017-12-03 11:00:00+00:00,2017-12-20 00:00:00+00:00,1,11615.99,8445.615,14786.365,trail,3170.375,397,1.0,0.9450864639829671,0.02,0.018901729279659343
2017-12-26 14:00:00+00:00,2018-01-16 09:00:00+00:00,1,15879.87,10734.350357142857,10734.350357142857,stop,5145.5196428571435,498,-1.0,-1.0245732396491956,-0.02,-0.020491464792983912
2018-01-22 13:00:00+00:00,2018-02-17 04:00:00+00:00,-1,10519.97,13224.93,10519.97,trail,2704.960000000001,582,-0.0,-0.0272885547290904,-0.0,-0.000545771094581808
2018-02-21 00:00:00+00:00,2018-02-26 14:00:00+00:00,-1,11091.82,11883.72357142857,10299.916428571429,trail,791.903571428571,134,1.0,0.9371476809045111,0.02,0.01874295361809022
2018-02-28 08:00:00+00:00,2018-03-02 01:00:00+00:00,-1,10525.0,11181.439642857144,11181.439642857144,stop,656.4396428571436,41,-1.0,-1.0695813761302182,-0.02,-0.021391627522604366
2018-03-06 00:00:00+00:00,2018-03-07 18:00:00+00:00,-1,11304.0,11761.462142857143,9931.613571428572,trail,457.4621428571427,42,3.0,2.904364170415353,0.06,0.058087283408307065
2018-03-17 15:00:00+00:00,2018-03-19 14:00:00+00:00,-1,7887.11,8612.463571428572,8612.463571428572,stop,725.3535714285726,47,-1.0,-1.0417315619968572,-0.02,-0.020834631239937146
2018-03-23 23:00:00+00:00,2018-03-26 10:00:00+00:00,1,8898.03,8197.230714285713,8197.230714285713,stop,700.7992857142872,59,-1.0,-1.0499914487946933,-0.02,-0.020999828975893867
2018-04-01 13:00:00+00:00,2018-04-03 04:00:00+00:00,-1,6543.97,7219.717857142857,7219.717857142857,stop,675.7478571428564,39,-1.0,-1.0440158771710075,-0.02,-0.02088031754342015
2018-04-07 03:00:00+00:00,2018-04-16 05:00:00+00:00,1,6864.32,6479.823214285714,8017.810357142856,trail,384.4967857142856,218,3.0,2.940016895692051,0.06,0.058800337913841025
2018-04-18 20:00:00+00:00,2018-04-21 11:00:00+00:00,1,8197.98,7789.770714285714,8606.189285714285,trail,408.2092857142852,63,1.0,0.9288758367119107,0.02,0.018577516734238214
2018-04-24 00:00:00+00:00,2018-04-25 04:00:00+00:00,1,9169.97,8689.501071428573,9169.97,trail,480.46892857142666,28,0.0,-0.1039379365248099,0.0,-0.002078758730496198
2018-04-25 10:00:00+00:00,2018-05-05 02:00:00+00:00,-1,9140.68,9867.302142857143,9867.302142857143,stop,726.6221428571425,232,-1.0,-1.0513049116213864,-0.02,-0.02102609823242773
2018-05-08 12:00:00+00:00,2018-05-13 21:00:00+00:00,-1,9140.0,9517.24142857143,8762.75857142857,trail,377.2414285714294,129,1.0,0.9240106133245465,0.02,0.01848021226649093
2018-05-16 02:00:00+00:00,2018-07-02 13:00:00+00:00,-1,8113.0,8880.684642857143,6577.630714285715,trail,767.6846428571425,1128,2.0,1.946123012239493,0.04,0.03892246024478986
2018-07-04 13:00:00+00:00,2018-07-10 11:00:00+00:00,1,6713.0,6401.011071428571,6401.011071428571,stop,311.9889285714289,142,-1.0,-1.095939011514831,-0.02,-0.02191878023029662
